number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_frequency,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
90,0.8428155122169917,2024-11-28 09:32:17.312949,2024-11-28 09:32:29.028899,0 days 00:00:11.715950,12,sqrt,0.02748615731986455,6,18,450,COMPLETE
91,0.843039677202421,2024-11-28 09:32:29.030248,2024-11-28 09:32:50.833208,0 days 00:00:21.802960,13,sqrt,0.01062275490746987,1,16,750,COMPLETE
92,0.843039677202421,2024-11-28 09:32:50.835956,2024-11-28 09:33:13.278369,0 days 00:00:22.442413,13,log2,0.19144985510651968,2,12,900,COMPLETE
93,0.8426810132257341,2024-11-28 09:33:13.281633,2024-11-28 09:33:28.827531,0 days 00:00:15.545898,12,sqrt,0.15045795249395416,2,15,700,COMPLETE
94,0.8429500112082493,2024-11-28 09:33:28.830203,2024-11-28 09:33:46.097428,0 days 00:00:17.267225,14,log2,0.2297015828639512,3,14,800,COMPLETE
95,0.8422775162519613,2024-11-28 09:33:46.099783,2024-11-28 09:33:51.504958,0 days 00:00:05.405175,13,log2,0.20900074736002255,10,18,250,COMPLETE
96,0.8433535081820219,2024-11-28 09:33:51.507311,2024-11-28 09:33:58.707256,0 days 00:00:07.199945,15,sqrt,0.15707476038368123,1,11,300,COMPLETE
97,0.8420085182694462,2024-11-28 09:33:58.711490,2024-11-28 09:34:13.319719,0 days 00:00:14.608229,14,log2,0.17233107345459853,2,7,600,COMPLETE
98,0.8427706792199059,2024-11-28 09:34:13.321897,2024-11-28 09:34:21.295910,0 days 00:00:07.974013,12,sqrt,0.24739144662184467,1,19,350,COMPLETE
99,0.8438018381528805,2024-11-28 09:34:21.297734,2024-11-28 09:34:31.595071,0 days 00:00:10.297337,13,log2,0.18646716838597496,2,20,450,COMPLETE
